time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2600000000000007,-0.0191638858987,-0.160667331848,11.9847761867,6.22391602609,6.25625982871,0.0,0.0240293394722,-0.418561726295,3.03655688203,-0.0315210870572,-0.103114734558,0.0,468.18815737978616,465.29486683252117,464.21219169601386,465.5444617983494
1.3200000000000007,-0.0170405892156,-0.187230824176,12.1735594748,6.22198499166,6.25035128956,0.0,0.047452821664,-0.46708178677,3.25557639904,-0.0335433743823,-0.0905249293886,0.0,480.00972011977177,480.956570499653,483.79315121664285,483.6405693258625
1.3800000000000008,-0.013535511183,-0.21645470594,12.370636241,6.22006901779,6.24460745027,0.0,0.0699104738968,-0.50722679306,3.31344248611,-0.0288927791375,-0.108966829526,0.0,435.3221444231366,433.7679115005899,433.77392067694035,434.16389593393086
1.4400000000000008,-0.0084515111868,-0.248310544714,12.5741162463,6.2179243263,6.23889313075,0.0,0.100203849654,-0.554813776131,3.46871173787,-0.0552214798434,-0.0765540586444,0.0,463.6588544500322,466.1905699667417,466.13584568989876,464.07308393431714
1.5000000000000009,-0.00142465496645,-0.283084900736,12.7870314912,6.21461571483,6.23529420805,0.0,0.134443144482,-0.604666605162,3.62790801117,-0.0549881295579,-0.0387558359367,0.0,466.0646666130501,469.0068344061937,466.9656924550439,466.9820131198581
1.560000000000001,0.00765560043732,-0.320818953064,13.0079587382,6.21145315928,6.23287650409,0.0,0.16845950751,-0.653445946938,3.73593055621,-0.0485035604406,-0.0435654450556,0.0,453.1881832481694,452.8005977990916,452.3691227707051,452.88924405564643
1.620000000000001,0.0188265860585,-0.361542616047,13.2353234716,6.20819174972,6.230430256,0.0,0.204148254078,-0.704299916855,3.84248185399,-0.0698576032826,-0.0356986536627,0.0,452.59437452870094,453.2262726449643,454.352783946444,452.63537013855284
1.680000000000001,0.0319804070304,-0.405095356485,13.4651794359,6.20435113036,6.22859221083,0.0,0.234481258756,-0.747801387866,3.81940398021,-0.0543300295377,-0.0220573744712,0.0,412.0005788019066,413.20457512751057,410.8640416808383,412.23506647935943
1.740000000000001,0.0472988626546,-0.451777825323,13.6993760346,6.201229519,6.22707910567,0.0,0.27625871475,-0.80859526012,3.98651164678,-0.0477796732482,-0.0324375004562,0.0,472.5211340050248,471.72012165511217,472.41220861768363,472.91546607635934
1.8000000000000012,0.0650462859955,-0.502011066158,13.9415754523,6.19891379282,6.22535198373,0.0,0.315486750482,-0.866080703553,4.08638609174,-0.024678289939,-0.0223330391851,0.0,452.7376841490699,453.54977363014297,452.5402156424238,454.39524281646624
